Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Bujqesia;Pylltaria dhe Peshkimi,Individual,VUSHTRRI,183.75,181.76
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KAMENICË,388.27,328.15
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VITI,293.57,197.84
Aktivitetet financiare dhe te sigurimit,Individual,SHTIME,300.0,176.67
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,VUSHTRRI,396.46,231.79
Transporti dhe magazinimi,SH.P.K.,KAÇANIK,324.79,226.45
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJAKOVË,289.23,256.83
Aktivitetet e tjera sherbyese,OJQ,OBILIQ,198.8,125.84
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,221.79,216.58
Bujqesia;Pylltaria dhe Peshkimi,Individual,PRIZREN,233.43,237.1
Aktivitetet financiare dhe te sigurimit,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,333.52,256.83
Industria perpunuese,SH.P.K.,MITROVICË VERIORE,199.2,236.47
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GLLOGOC,215.79,215.79
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,215.39,221.2
"Artet, Argetimi dhe rekreacioni",Zyrë ndërlidhëse,GJAKOVË,439.44,385.35
Akomodimi dhe sherbimi ushqimor,Individual,SHTËRPCË,165.53,168.33
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,DRAGASH,216.67,380.27
Aktivitetet financiare dhe te sigurimit,Individual,VUSHTRRI,482.21,249.08
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,KLINË,419.36,267.52
Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,169.12,242.07
Ndertimtaria,SH.P.K.,KLINË,346.53,377.05
Aktivitetet e tjera sherbyese,SH.P.K.,RAHOVEC,420.6,171.93
Transporti dhe magazinimi,Individual,PODUJEVË,245.6,225.46
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAÇANIK,252.21,232.81
Arsimi,Individual,KAMENICË,157.78,183.33
Ndertimtaria,Individual,FERIZAJ,264.5,239.82
Sherbimet administrative dhe mbeshtetese,SH.P.K.,FERIZAJ,413.59,625.88
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,336.39,272.88
Arsimi,Individual,PARTESH,102.5,170.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ndërmarrje shoq.,PRISHTINË,619.05,619.05
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,GJAKOVË,200.0,200.0
Industria perpunuese,Shoqëri akcionare,MITROVICË,580.84,555.61
Arsimi,Individual,VUSHTRRI,115.0,233.75
Aktivitetet e tjera sherbyese,OJQ,PRIZREN,405.45,384.64
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PEJË,347.4,276.36
Arsimi,Individual,SKENDERAJ,164.29,208.98
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FUSHË KOSOVË,545.86,231.66
Transporti dhe magazinimi,Shoqëri akcionare,ISTOG,230.0,112.5
Aktivitetet e patundshmerise,SH.P.K.,PRISHTINË,435.36,311.82
Transporti dhe magazinimi,Individual,FUSHË KOSOVË,294.54,200.0
"Artet, Argetimi dhe rekreacioni",Individual,OBILIQ,314.35,343.0
Mungon aktiviteti,OJQ,ZVEÇAN,267.94,131.33
Industria perpunuese,Individual,SKENDERAJ,209.88,195.98
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Parti Politike,PRISHTINË,486.94,401.33
Ndertimtaria,Individual,PEJË,287.78,260.9
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,327.19,295.27
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,MITROVICË,276.31,207.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PEJË,257.15,214.19
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SKENDERAJ,223.88,198.73
Bujqesia;Pylltaria dhe Peshkimi,Individual,DRAGASH,194.38,170.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,SUHAREKË,300.0,312.5
"Artet, Argetimi dhe rekreacioni",SH.P.K.,JUNIK,266.99,170.0
Akomodimi dhe sherbimi ushqimor,Individual,VITI,217.46,244.57
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VITI,198.18,223.63
Arsimi,Individual,SHTIME,165.64,159.05
Aktivitetet financiare dhe te sigurimit,Ortakëria e përgj.,GJILAN,293.82,270.94
Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,249.3,241.13
Aktivitetet financiare dhe te sigurimit,SH.P.K.,PRIZREN,350.0,317.5
Industria perpunuese,Individual,SUHAREKË,279.38,238.08
Informimi dhe komunikimi,Individual,SUHAREKË,413.6,312.45
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PRIZREN,267.62,282.93
Industria perpunuese,SH.P.K.,MAMUSHË,504.99,383.74
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,249.72,235.26
Mungon aktiviteti,OJQ,ISTOG,161.67,275.0
Ndertimtaria,SH.P.K.,KAÇANIK,367.67,345.37
Aktivitetet e shendetit te njeriut dhe te punes sociale,Shoqëri akcionare,PRISHTINË,200.0,200.0
Ndertimtaria,Individual,PRISHTINË,340.64,291.83
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SKENDERAJ,492.28,375.69
Aktivitetet e patundshmerise,SH.P.K.,PRISHTINË,545.08,372.15
Ndertimtaria,Ortakëria e përgj.,VITI,156.67,250.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Sindikatat,PRISHTINË,300.0,477.9
Industria perpunuese,Individual,JUNIK,170.0,170.0
Informimi dhe komunikimi,SH.P.K.,MITROVICË,696.38,531.63
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,430.72,355.12
Akomodimi dhe sherbimi ushqimor,SH.P.K.,NOVOBËRDË,390.44,435.68
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,454.71,464.0
Arsimi,Individual,PEJË,156.54,209.47
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,238.55,223.89
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,NOVOBËRDË,282.0,380.0
Ndertimtaria,Individual,ISTOG,213.76,240.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,MITROVICË,435.4,367.01
Bujqesia;Pylltaria dhe Peshkimi,Individual,GRAÇANICË,262.0,202.0
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FUSHË KOSOVË,292.17,252.54
Industria perpunuese,SH.P.K.,RAHOVEC,381.85,284.92
Aktivitetet e tjera sherbyese,OJQ,GRAÇANICË,312.01,209.58
Aktivitetet e tjera sherbyese,Individual,PEJË,208.57,183.13
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Ambasada,PRISHTINË,408.24,345.31
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,DRAGASH,165.0,180.0
Sherbimet administrative dhe mbeshtetese,Individual,KLINË,210.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAMENICË,300.0,193.33
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,HANI I ELEZIT,352.58,370.25
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,GJAKOVË,337.44,327.78
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,DEÇAN,414.95,480.0
Aktivitetet e tjera sherbyese,SH.P.K.,OBILIQ,150.0,250.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,SKENDERAJ,305.43,217.95
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SKENDERAJ,230.83,170.0
Industria perpunuese,SH.P.K.,ZUBIN POTOK,170.0,175.08
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KAMENICË,195.74,181.0
Aktivitetet e tjera sherbyese,Individual,PODUJEVË,216.28,210.95
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KLINË,214.05,304.17
Transporti dhe magazinimi,Shoqëri akcionare,SUHAREKË,571.73,453.44
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GRAÇANICË,410.38,369.79
Mungon aktiviteti,OJQ,MITROVICË VERIORE,336.46,313.28
Informimi dhe komunikimi,SH.P.K.,RAHOVEC,264.52,238.6
Industria perpunuese,SH.P.K.,MALISHEVË,344.84,255.37
Mungon aktiviteti, Bashkësi Fetare,MITROVICË,524.18,475.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SUHAREKË,387.3,376.99
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,PRIZREN,275.71,170.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,ISTOG,187.47,180.0
Aktivitetet financiare dhe te sigurimit,Individual,VITI,206.0,250.0
Arsimi,Individual,SHTIME,165.64,160.14
Informimi dhe komunikimi,Kompani e huaj,PRIZREN,793.6,288.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MAMUSHË,262.09,284.29
Person Fizik,Person fizik,RAHOVEC,297.37,218.29
Transporti dhe magazinimi,SH.P.K.,JUNIK,170.0,180.0
Industria perpunuese,Individual,KLINË,200.12,229.47
Industria perpunuese,Individual,VUSHTRRI,259.5,225.49
Aktivitetet e tjera sherbyese,OJQ,NOVOBËRDË,100.0,263.0
Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,270.94,270.94
Aktivitetet e tjera sherbyese, Bashkësi Fetare,RAHOVEC,570.73,120.0
Ndertimtaria,Individual,GRAÇANICË,206.67,200.0
Transporti dhe magazinimi,Shoqëri akcionare,SUHAREKË,384.81,447.33
Ndertimtaria,Individual,GJILAN,279.39,222.3
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,162.8,193.75
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,ZVEÇAN,282.12,193.16
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,DEÇAN,442.11,395.83
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJAKOVË,370.4,323.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PEJË,270.4,276.15
Aktivitetet e tjera sherbyese,OJQ,OBILIQ,309.75,407.48
Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,203.98,185.16
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,205.69,187.6
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GRAÇANICË,438.48,549.39
"Artet, Argetimi dhe rekreacioni",Individual,KLINË,510.0,270.94
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,362.05,298.33
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,238.12,251.95
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,HANI I ELEZIT,347.22,243.73
Aktivitetet e tjera sherbyese,OJQ,VITI,170.0,350.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJILAN,372.02,243.87
Transporti dhe magazinimi,Individual,SUHAREKË,228.42,215.06
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GJILAN,263.21,258.89
Akomodimi dhe sherbimi ushqimor,SH.P.K.,RAHOVEC,306.28,266.16
Arsimi,SH.P.K.,FERIZAJ,317.46,237.9
Aktivitetet e tjera sherbyese,Individual,MALISHEVË,192.5,204.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,KLINË,433.0,379.66
Akomodimi dhe sherbimi ushqimor,Individual,NOVOBËRDË,197.26,221.67
Informimi dhe komunikimi,SH.P.K.,RAHOVEC,267.55,238.6
Aktivitetet e tjera sherbyese,OJQ,MALISHEVË,330.85,391.42
Transporti dhe magazinimi,SH.P.K.,HANI I ELEZIT,492.68,380.97
Bujqesia;Pylltaria dhe Peshkimi,Individual,KAÇANIK,204.29,170.0
Transporti dhe magazinimi,SH.P.K.,SUHAREKË,391.69,285.91
Transporti dhe magazinimi,SH.P.K.,KAÇANIK,253.83,192.9
"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,PRISHTINË,515.02,459.05
Ndertimtaria,Individual,GLLOGOC,309.8,219.21
Ndertimtaria,SH.P.K.,ZVEÇAN,191.82,200.0
Aktivitetet e tjera sherbyese,SH.P.K.,VITI,309.2,260.0
Aktivitetet e tjera sherbyese,SH.P.K.,GLLOGOC,200.0,105.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,452.19,401.35
Bujqesia;Pylltaria dhe Peshkimi,Individual,PARTESH,130.0,30.0
Aktivitetet e tjera sherbyese,Organizata Buxhetore,PRISHTINË,500.64,508.37
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PEJË,378.75,275.9
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PRISHTINË,336.18,278.49
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,KAÇANIK,465.45,350.91
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,FERIZAJ,380.95,347.35
Industria nxjerrese,SH.P.K.,GJAKOVË,330.8,280.26
Arsimi,Individual,SUHAREKË,230.43,233.98
Sherbimet administrative dhe mbeshtetese,Individual,FERIZAJ,230.28,255.3
Aktivitetet e tjera sherbyese,OJQ,ZVEÇAN,133.34,243.1
Ndertimtaria,Shoqëri akcionare,VUSHTRRI,391.4,468.18
Industria perpunuese,Ndërmarrje shoq.,PRISHTINË,272.92,314.29
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,GJAKOVË,353.7,351.93
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PODUJEVË,568.29,173.33
"Artet, Argetimi dhe rekreacioni",Individual,DRAGASH,210.0,264.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJILAN,197.69,200.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GLLOGOC,468.5,410.8
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,PEJË,208.75,170.0
Ndertimtaria,Individual,KLINË,212.17,261.82
Mungon aktiviteti,OJQ,GJILAN,409.76,471.28
Industria nxjerrese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,297.29,344.35
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,SUHAREKË,439.08,328.15
Industria perpunuese,Individual,DRAGASH,208.5,196.25
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,OJQ,GJAKOVË,411.98,586.62
Mungon aktiviteti,Organizata Buxhetore,PRIZREN,128.41,109.15
Informimi dhe komunikimi,Individual,VUSHTRRI,372.68,269.3
Transporti dhe magazinimi,Individual,SHTIME,188.13,250.0
Arsimi,Individual,SHTIME,70.0,50.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,GRAÇANICË,206.31,231.19
Ndertimtaria,SH.P.K.,MITROVICË,356.87,361.88
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAMENICË,276.09,270.23
Transporti dhe magazinimi,SH.P.K.,PODUJEVË,357.64,403.02
Industria perpunuese,SH.P.K.,DRAGASH,491.72,450.46
Sherbimet administrative dhe mbeshtetese,Individual,PEJË,230.83,297.05
Bujqesia;Pylltaria dhe Peshkimi,Individual,LIPJAN,258.29,182.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,PRIZREN,598.05,530.89
Aktivitetet e tjera sherbyese,SH.P.K.,KLINË,373.21,388.95
Transporti dhe magazinimi,Individual,OBILIQ,225.38,246.67
Sherbimet administrative dhe mbeshtetese,Individual,VUSHTRRI,199.41,194.43
Aktivitetet e tjera sherbyese, Bashkësi Fetare,HANI I ELEZIT,479.09,289.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,GJAKOVË,305.81,488.85
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJAKOVË,246.67,281.67
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,188.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,308.54,303.76
Arsimi,Individual,VITI,171.07,207.64
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KAÇANIK,385.36,356.76
Transporti dhe magazinimi,SH.P.K.,PODUJEVË,347.26,437.16
"Artet, Argetimi dhe rekreacioni",Individual,MITROVICË,256.56,197.37
Informimi dhe komunikimi,Individual,RAHOVEC,334.67,221.36
Aktivitetet e tjera sherbyese,OJQ,MITROVICË VERIORE,457.14,218.02
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KLINË,518.69,320.25
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KAMENICË,227.89,210.43
Person Fizik,Person fizik,KLLOKOT,187.5,222.5
Bujqesia;Pylltaria dhe Peshkimi,Individual,PODUJEVË,184.87,177.32
Aktivitetet e tjera sherbyese,OJQ,SHTIME,161.79,50.0
Aktivitetet e tjera sherbyese,Individual,PODUJEVË,190.27,195.38
Transporti dhe magazinimi,Individual,SHTIME,194.71,250.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,167.33,162.5
Transporti dhe magazinimi,SH.P.K.,VUSHTRRI,183.82,236.67
Arsimi,Individual,PARTESH,102.5,170.0
Industria perpunuese,Kompani e huaj,PRISHTINË,688.52,217.08
"Artet, Argetimi dhe rekreacioni",SH.P.K.,PEJË,205.52,209.77
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GJAKOVË,516.64,445.64
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,DEÇAN,283.48,250.0
Industria nxjerrese,SH.P.K.,GJILAN,289.76,116.96
Ndertimtaria,Ortakëria e përgj.,VITI,202.5,250.0
Aktivitetet e tjera sherbyese,Individual,LIPJAN,166.32,174.29
Industria nxjerrese,SH.P.K.,VITI,538.66,417.43
Aktivitetet financiare dhe te sigurimit,SH.P.K.,FERIZAJ,317.28,269.96
Arsimi,SH.P.K.,FERIZAJ,310.93,242.32
Aktivitetet e tjera sherbyese,SH.P.K.,SUHAREKË,309.08,196.67
Sherbimet administrative dhe mbeshtetese,SH.P.K.,SKENDERAJ,230.0,215.0
Industria perpunuese,Individual,DRAGASH,201.15,218.59
Aktivitetet financiare dhe te sigurimit,Individual,PRIZREN,224.49,223.95
Aktivitetet e patundshmerise,SH.P.K.,PRIZREN,480.78,460.86
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FERIZAJ,383.35,236.78
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,FUSHË KOSOVË,256.45,328.15
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MALISHEVË,215.96,154.98
Ndertimtaria,Individual,PRISHTINË,350.93,334.98
Mungon aktiviteti,OJQ,GJILAN,401.58,409.77
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,GRAÇANICË,500.35,500.35
Industria nxjerrese,SH.P.K.,SHTIME,356.94,414.47
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,197.62,184.09
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,ISTOG,362.19,296.67
Aktivitetet financiare dhe te sigurimit,Individual,GJAKOVË,249.5,217.96
Aktivitetet e tjera sherbyese,OJQ,LIPJAN,383.9,275.22
"Aktivitetet profesionale, shkencore dhe teknike",Shoqëri akcionare,GRAÇANICË,215.79,180.0
Transporti dhe magazinimi,Individual,PRISHTINË,288.44,417.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,PRIZREN,206.2,194.02
Industria nxjerrese,Ortakëria e përgj.,SHTIME,373.08,390.43
Transporti dhe magazinimi,Individual,PODUJEVË,237.46,251.57
Industria perpunuese,Individual,OBILIQ,309.12,330.82
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,FUSHË KOSOVË,513.48,375.14
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PRIZREN,270.0,185.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,FERIZAJ,251.79,182.89
Mungon aktiviteti,OJQ,VUSHTRRI,403.47,380.24
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAMENICË,300.0,207.5
Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,356.05,370.02
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,279.52,259.24
Ndertimtaria,Kompani e huaj,SHTËRPCË,225.0,410.0
Aktivitetet e tjera sherbyese,Parti Politike,PRISHTINË,453.4,470.69
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GLLOGOC,215.8,215.8
Aktivitetet e tjera sherbyese,SH.P.K.,GJILAN,221.72,282.61
Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË VERIORE,409.0,290.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJAKOVË,305.89,253.5
"Artet, Argetimi dhe rekreacioni",SH.P.K.,MITROVICË,204.32,295.46
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,283.05,298.22
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,262.36,258.47
Arsimi,Individual,SHTIME,165.64,168.19
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,VITI,220.12,226.6
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GRAÇANICË,301.43,558.83
Informimi dhe komunikimi,SH.P.K.,MALISHEVË,522.38,334.22
Akomodimi dhe sherbimi ushqimor,Individual,SUHAREKË,239.27,240.96
Industria perpunuese,SH.P.K.,GRAÇANICË,635.93,405.75
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,DEÇAN,434.28,457.49
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,SHTIME,341.91,301.77
Industria perpunuese,SH.P.K.,NOVOBËRDË,283.92,260.0
Industria nxjerrese,SH.P.K.,HANI I ELEZIT,474.65,385.36
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KLINË,367.18,208.57
Arsimi,SH.P.K.,GJILAN,192.46,202.27
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GJAKOVË,460.6,458.44
Sherbimet administrative dhe mbeshtetese,Individual,RAHOVEC,170.0,174.29
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PODUJEVË,252.0,299.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJILAN,199.17,202.22
Arsimi,Individual,OBILIQ,200.0,200.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,GJAKOVË,185.0,170.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,LIPJAN,170.0,170.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,ISTOG,233.33,244.78
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PODUJEVË,280.78,236.39
Industria perpunuese,Individual,KAÇANIK,261.05,216.63
Arsimi,SH.P.K.,PODUJEVË,138.55,154.62
Industria perpunuese,SH.P.K.,SHTËRPCË,177.68,213.33
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GLLOGOC,418.53,301.94
Mungon aktiviteti,Organizata Buxhetore,PARTESH,273.29,271.63
Aktivitetet e patundshmerise,Shoqëri akcionare,PRISHTINË,466.01,457.9
"Artet, Argetimi dhe rekreacioni",Individual,SUHAREKË,195.0,250.0
Sherbimet administrative dhe mbeshtetese,Individual,SUHAREKË,238.75,210.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,335.65,347.79
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PEJË,347.57,300.0
Ndertimtaria,Individual,VUSHTRRI,258.25,226.19
Industria nxjerrese,SH.P.K.,KLINË,530.66,334.97
Aktivitetet e tjera sherbyese,OJQ,FUSHË KOSOVË,135.31,238.09
Transporti dhe magazinimi,Ndërmarrje shoq.,PRIZREN,466.07,406.89
Transporti dhe magazinimi,Individual,SUHAREKË,231.29,216.06
Transporti dhe magazinimi,Individual,PEJË,231.37,200.28
Industria nxjerrese,SH.P.K.,PRISHTINË,526.52,526.57
Aktivitetet e tjera sherbyese,Parti Politike,GJAKOVË,416.77,215.79
Aktivitetet e tjera sherbyese,Individual,MALISHEVË,194.0,204.0
Sherbimet administrative dhe mbeshtetese,Individual,SKENDERAJ,166.0,210.0
"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,210.63,205.56
Arsimi,Individual,FERIZAJ,162.94,173.13
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJILAN,460.09,492.74
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,FUSHË KOSOVË,235.0,300.0
Transporti dhe magazinimi,SH.P.K.,LEPOSAVIQ,369.9,200.0
Ndertimtaria,Individual,MALISHEVË,264.54,283.26
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,FERIZAJ,325.0,328.14
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PODUJEVË,281.88,310.58
Industria nxjerrese,Individual,MITROVICË,250.0,180.0
Person Fizik,Person fizik,MAMUSHË,233.33,216.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FUSHË KOSOVË,649.01,460.08
Aktivitetet financiare dhe te sigurimit,SH.P.K.,PODUJEVË,245.0,239.4
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GLLOGOC,647.57,575.98
"Aktivitetet profesionale, shkencore dhe teknike",Individual,SUHAREKË,244.02,241.5
Aktivitetet financiare dhe te sigurimit,Individual,GLLOGOC,347.22,328.15
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,DRAGASH,498.53,300.0
Mungon aktiviteti, Bashkësi Fetare,VUSHTRRI,637.67,325.0
Informimi dhe komunikimi,Individual,KAÇANIK,276.51,307.21
Aktivitetet financiare dhe te sigurimit,OJQ,KLINË,466.67,224.62
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,LIPJAN,826.16,535.44
Ndertimtaria,SH.P.K.,DRAGASH,415.84,200.0
"Artet, Argetimi dhe rekreacioni",SH.P.K.,VITI,456.82,390.38
Mungon aktiviteti,OJQ,MITROVICË VERIORE,743.57,466.23
Transporti dhe magazinimi,Individual,PRISHTINË,265.27,360.6
